id,issuedDate,distributorid,status,validFrom,validThrough,type,planesValue,horizontalSize,verticalSize,area,CATUTTC,district
66611-18,2018-05-14,37881624,Чинний,2018-05-14,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,8.94,3.575,31.9605,UA80000000000479391,Дніпровський
64719-17,2023-09-28,23528235,Чинний,2024-02-16,2029-02-15,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,2.5,1.25,3.125,UA80000000001078669,Шевченківський
67018-18,2024-01-25,32049199,Чинний,2024-05-14,2029-05-13,"Прапор, прапорець, який використовується як рекламоносій, що стоїть окремо",1.0,2.5,1.5,3.75,UA80000000000336424,Деснянський
67044-18,2024-01-25,32049199,Чинний,2024-05-14,2029-05-13,Конструкція на даху будинку (будівлі),1.0,13.5,2.5,33.75,UA80000000000336424,Деснянський
67045-18,2024-01-31,32049199,Чинний,2024-05-14,2029-05-13,Конструкція на даху будинку (будівлі),1.0,13.5,2.5,33.75,UA80000000000336424,Деснянський
66859-18,2018-07-26,39871094,Чинний,2018-07-26,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,5.63,1.55,8.7265,UA80000000001078669,Шевченківський
67229-18,2018-07-26,21685166,Чинний,2018-07-26,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,17.0,0.7,11.9,UA80000000000126643,Голосіївський
67225-18,2018-08-20,37687638,Чинний,2018-08-20,2026-02-04,"Спеціальна рекламна конструкція, що розміщується під кутом до фасаду будинку (будівлі)",2.0,0.8,0.8,1.28,UA80000000000624772,Печерський
67236-18,2023-12-05,33346854,Чинний,2024-05-14,2029-05-13,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,6.3,2.476,15.5988,UA80000000000551439,Оболонський
67006-18,2018-07-17,33988130,Чинний,2018-07-17,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,17.0,1.485,25.245,UA80000000000980793,Солом'янський
64742-17,2024-05-06,35442481,Чинний,2024-08-14,2029-08-13,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,8.0,2.45,19.6,UA80000000000875983,Святошинський
65229-17,2018-04-16,30487219,Чинний,2018-04-16,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,6.0,0.9,5.4,UA80000000000719633,Подільський
67051-18-П-1,2018-09-25,44449723,Чинний,2018-09-25,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,8.287,0.753,6.2401,UA80000000001078669,Шевченківський
67118-18,2018-08-20,41441229,Чинний,2018-08-20,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,3.0,0.81,2.43,UA80000000001078669,Шевченківський
67120-18,2024-03-20,34048360,Чинний,2024-08-14,2029-08-13,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,5.1,0.7,3.57,UA80000000001078669,Шевченківський
67237-18,2018-09-11,44449723,Чинний,2018-09-11,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,8.4,1.12,9.408,UA80000000001078669,Шевченківський
67239-18,2018-08-03,19243047,Чинний,2018-08-03,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,2.0,2.068,4.136,UA80000000000980793,Солом'янський
67241-18,2018-08-03,41847123,Чинний,2018-08-03,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,1.96,0.465,0.9114,UA80000000001078669,Шевченківський
67176-18,2018-08-20,39370201,Чинний,2018-08-20,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,4.25,1.2,5.1,UA80000000000551439,Оболонський
66429-18,2018-06-14,34431547,Чинний,2018-06-14,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,10.2,3.13,31.926,UA80000000000210193,Дарницький
67098-18,2018-08-16,32555547,Чинний,2018-08-16,2026-02-04,"Лайтпостер, що стоїть окремо",2.0,1.2,1.8,4.32,UA80000000000624772,Печерський
67034-18,2018-08-23,38305367,Чинний,2018-08-23,2026-02-04,Відеоекран на фасаді будинку,1.0,42.0,1.024,43.008,UA80000000000624772,Печерський
67021-18,2024-01-25,32049199,Чинний,2024-05-14,2029-05-13,"Тумба, що стоїть окремо",2.0,2.0,2.0,8.0,UA80000000000336424,Деснянський
67019-18,2024-01-25,32049199,Чинний,2024-05-14,2029-05-13,"Прапор, прапорець, який використовується як рекламоносій, що стоїть окремо",1.0,2.5,1.5,3.75,UA80000000000336424,Деснянський
67128-18,2018-07-30,38538731,Чинний,2018-07-30,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,4.4,1.2,5.28,UA80000000000719633,Подільський
66745-18,2018-08-03,35391700,Чинний,2018-08-03,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,8.0,4.0,32.0,UA80000000000336424,Деснянський
66106-18,2018-08-23,14333937,Чинний,2018-08-23,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,6.277,0.8,5.0216,UA80000000000624772,Печерський
65445-18,2018-04-06,39232850,Чинний,2018-04-06,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,2.6,2.6,6.76,UA80000000000479391,Дніпровський
67208-18,2023-09-25,36203680,Чинний,2023-11-21,2028-11-20,"Банер, панно на фасаді будинку (будівлі) та/або будівельних риштуваннях",1.0,64.0,22.5,1440.0,UA80000000001078669,Шевченківський
66605-18,2018-09-03,9807750,Чинний,2018-09-03,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,17.7,0.866,15.3282,UA80000000000210193,Дарницький
66805-18,2018-09-11,36203680,Чинний,2018-09-11,2026-02-04,"Банер, панно на фасаді будинку (будівлі)",1.0,14.0,19.4,271.6,UA80000000001078669,Шевченківський
67082-18,2018-07-17,33988130,Чинний,2018-07-17,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,14.89,1.3,19.357,UA80000000000980793,Солом'янський
67083-18,2018-07-26,14361575,Чинний,2018-07-26,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,4.33,0.35,1.5155,UA80000000000624772,Печерський
67227-18,2018-08-20,37687638,Чинний,2018-08-20,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,3.92,0.6,2.352,UA80000000000624772,Печерський
66945-18,2018-07-26,14360570,Чинний,2018-07-26,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,4.0,0.673,2.692,UA80000000000551439,Оболонський
66816-18,2018-07-26,37922217,Чинний,2018-07-26,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,6.4,0.6,3.84,UA80000000000551439,Оболонський
66819-18,2018-07-26,41258710,Чинний,2018-07-26,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,23.59,0.9,21.231,UA80000000000126643,Голосіївський
66822-18,2018-08-03,37412768,Чинний,2018-08-03,2026-02-04,Конструкція на даху будинку (будівлі),1.0,14.0,0.6,8.4,UA80000000000126643,Голосіївський
66961-18,2018-10-24,30982361,Чинний,2018-10-24,2026-02-04,"Конструкції на даху будинку (будівлі), споруді",1.0,15.75,3.74,58.905,UA80000000000336424,Деснянський
66861-18,2018-07-26,39871094,Чинний,2018-07-26,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,9.31,1.55,14.4305,UA80000000001078669,Шевченківський
66862-18,2018-07-26,41609063,Чинний,2018-07-26,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,6.17,0.48,2.9616,UA80000000000479391,Дніпровський
66864-18,2018-07-26,19390819,Чинний,2018-07-26,2026-02-04,"Спеціальна рекламна конструкція, що розміщується під кутом до фасаду будинку (будівлі)",2.0,0.7,0.7,0.98,UA80000000000479391,Дніпровський
66867-18-П-1,2018-09-11,44660028,Чинний,2018-09-11,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,1.9,0.9,1.71,UA80000000000210193,Дарницький
66868-18,2018-07-11,36085246,Чинний,2018-07-11,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,8.0,1.2,9.6,UA80000000000875983,Святошинський
66869-18,2018-07-11,36085246,Чинний,2018-07-11,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,21.0,1.2,25.2,UA80000000000875983,Святошинський
67011-18,2018-07-11,36885319,Чинний,2018-07-11,2026-02-04,"Банер, панно на фасаді будинку (будівлі)",1.0,5.8,29.8,172.84,UA80000000000551439,Оболонський
67007-18,2018-07-17,33988130,Чинний,2018-07-17,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,8.35,1.3,10.855,UA80000000000980793,Солом'янський
67145-18,2018-08-09,37357084,Чинний,2018-08-09,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,3.1,0.6,1.86,UA80000000001078669,Шевченківський
66785-18,2018-07-26,37739350,Чинний,2018-07-26,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,3.0,3.0,9.0,UA80000000000551439,Оболонський
66827-18,2018-07-26,37739350,Чинний,2018-07-26,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,9.0,3.0,27.0,UA80000000000551439,Оболонський
